	Bayesian Skyline: ND2_Carpodacus_erythrinus1_c4.log			
Time	Mean	Median	Upper	Lower
0.0	7952375.785767129	7075066.85065812	1.6749959020983605E7	3933864.0436563585
145.5465759145389	7955167.7185134655	7076336.880601719	1.6713626711056115E7	3953353.895354172
291.0931518290778	7958741.79274057	7079055.550793599	1.6695230934668839E7	3971612.3668432124
436.6397277436167	7958826.616593563	7080897.841075208	1.6669857929526946E7	3975338.7026032507
582.1863036581556	7950289.03569934	7079364.701529133	1.6601676893524926E7	3975338.7026032507
727.7328795726944	7950633.13364787	7082537.312235098	1.6579574928720757E7	3982641.7271956373
873.2794554872332	7950041.0295872325	7080897.841075208	1.6502743274005694E7	3982641.7271956373
1018.8260314017721	7949735.1531450525	7080897.841075208	1.6502743274005694E7	3986505.309907316
1164.372607316311	7950428.395475815	7080897.841075208	1.6502743274005694E7	4002564.13654454
1309.9191832308497	7951528.630309782	7083020.867846016	1.6482786403597808E7	4003663.363139841
1455.4657591453886	7950239.447417045	7084243.890443163	1.6450956346121805E7	4008868.0561477435
1601.0123350599274	7949546.753605153	7086834.293187821	1.6423425755505327E7	4013261.8968692813
1746.5589109744662	7936969.943187459	7087780.914818762	1.6349903912313707E7	4019262.063857438
1892.105486889005	7932269.00763101	7087445.564525835	1.6325361143838432E7	4020467.683750703
2037.652062803544	7935300.371562341	7089784.275905607	1.6325361143838432E7	4025208.96584398
2183.1986387180827	7935198.47099273	7088026.590820225	1.6325361143838432E7	4024822.3455984257
2328.745214632622	7932950.297823961	7087780.914818762	1.6325361143838432E7	4021035.3373086355
2474.291790547161	7930661.753529859	7087797.26958035	1.6267809971696964E7	4024822.3455984257
2619.8383664617	7928552.529018799	7089784.275905607	1.6175806483521324E7	4025208.96584398
2765.384942376239	7928122.519457118	7088026.590820225	1.6175806483521324E7	4033249.033168447
2910.931518290778	7927704.953196361	7089784.275905607	1.6175806483521324E7	4033249.033168447
3056.478094205317	7924039.725856375	7087797.26958035	1.612356887567341E7	4041601.0265456866
3202.024670119856	7922468.007280704	7087780.914818762	1.612356887567341E7	4041601.0265456866
3347.5712460343952	7919470.326951875	7087445.564525835	1.611501920731312E7	4042053.5639741025
3493.1178219489343	7915981.309201152	7088026.590820225	1.5996079344231104E7	4046986.5846499996
3638.6643978634734	7914992.793935028	7087445.564525835	1.6047030426461117E7	4048067.41049863
3784.2109737780124	7908683.567367382	7080897.841075208	1.5996079344231104E7	4048067.41049863
3929.7575496925515	7889924.70129442	7077224.592763285	1.5960013778848013E7	4048067.41049863
4075.3041256070906	7885112.509139701	7076336.880601719	1.592946787340133E7	4051351.7803262225
4220.850701521629	7881831.599750523	7073925.370846174	1.5877472700514376E7	4048067.41049863
4366.397277436168	7879881.539410201	7075066.85065812	1.5868767523262912E7	4052823.710869684
4511.943853350707	7862242.256306335	7071608.926505075	1.5844098327730358E7	4052765.86472887
4657.490429265246	7860631.887412234	7069229.543356569	1.5844098327730358E7	4048067.41049863
4803.037005179785	7854340.560642406	7066848.686657173	1.5811709367834045E7	4046986.5846499996
4948.5835810943245	7839141.5289860405	7063482.212109863	1.5785057554968234E7	4046986.5846499996
5094.1301570088635	7833116.1404017415	7062881.165678654	1.5722943467002103E7	4041825.2821396473
5239.676732923403	7828081.678437742	7062233.550462118	1.57188409395682E7	4041825.2821396473
5385.223308837942	7822894.242905405	7062233.550462118	1.5671041891151376E7	4042053.5639741025
5530.769884752481	7819934.526365433	7061861.187253649	1.5634144313187499E7	4041601.0265456866
5676.31646066702	7810391.284862495	7058969.721705378	1.5489110302587816E7	4041825.2821396473
5821.863036581559	7809059.143070021	7055921.146628996	1.5489110302587816E7	4041601.0265456866
5967.409612496098	7802773.645023688	7053036.846721259	1.5436790819628268E7	4041601.0265456866
6112.956188410637	7796436.673962618	7050831.938110168	1.5404718356177682E7	4033359.117069574
6258.502764325176	7784389.520118061	7049421.712527878	1.5363018472699923E7	4031073.421844757
